og_coord,starfish_coord,dist
"(1790.0, 3551.0)","(1660.0, 3592.0)",136.312
"(3222.0, 1851.0)","(3098.0, 1908.0)",136.473
"(3481.0, 2553.0)","(3536.0, 2427.0)",137.481
"(3216.0, 1979.0)","(3098.0, 1908.0)",137.713
"(1369.0, 987.0)","(1249.0, 1056.0)",138.423
"(3236.0, 2006.0)","(3326.0, 2112.0)",139.054
"(2656.0, 2362.0)","(2556.0, 2264.0)",140.014
"(3277.0, 360.0)","(3209.0, 484.0)",141.421
"(3381.0, 2335.0)","(3363.0, 2476.0)",142.144
"(2784.0, 124.0)","(2926.0, 131.0)",142.172
"(2484.0, 1130.0)","(2414.0, 1006.0)",142.394
"(3577.0, 1976.0)","(3718.0, 1999.0)",142.864
"(3570.0, 587.0)","(3675.0, 490.0)",142.948
"(3098.0, 2477.0)","(3169.0, 2602.0)",143.757
"(677.0, 2386.0)","(533.0, 2362.0)",145.986
"(1620.0, 592.0)","(1480.0, 634.0)",146.164
"(825.0, 907.0)","(948.0, 986.0)",146.185
"(2385.0, 2164.0)","(2512.0, 2083.0)",150.632
"(3321.0, 2264.0)","(3326.0, 2112.0)",152.082
"(1596.0, 535.0)","(1480.0, 634.0)",152.502
"(310.0, 181.0)","(231.0, 49.0)",153.834
"(2286.0, 1842.0)","(2383.0, 1962.0)",154.302
"(1641.0, 542.0)","(1708.0, 403.0)",154.305
"(3367.0, 1859.0)","(3418.0, 1713.0)",154.651
"(1622.0, 572.0)","(1480.0, 634.0)",154.945
"(2300.0, 2195.0)","(2301.0, 2350.0)",155.003
"(1404.0, 986.0)","(1506.0, 1103.0)",155.219
"(1718.0, 3031.0)","(1591.0, 3121.0)",155.657
"(1865.0, 2725.0)","(1707.0, 2719.0)",158.114
"(2251.0, 1873.0)","(2383.0, 1962.0)",159.201
"(1817.0, 39.0)","(1801.0, 198.0)",159.803
"(585.0, 536.0)","(425.0, 557.0)",161.372
"(2181.0, 3723.0)","(2038.0, 3648.0)",161.474
"(3480.0, 1863.0)","(3418.0, 1713.0)",162.308
"(3053.0, 3160.0)","(2936.0, 3273.0)",162.659
"(2964.0, 1048.0)","(2971.0, 881.0)",167.147
"(2256.0, 1846.0)","(2383.0, 1962.0)",172.003
"(2231.0, 1881.0)","(2383.0, 1962.0)",172.235
"(696.0, 369.0)","(800.0, 509.0)",174.402
"(676.0, 380.0)","(800.0, 509.0)",178.933
"(2230.0, 1851.0)","(2383.0, 1962.0)",189.024
"(3089.0, 3717.0)","(2900.0, 3747.0)",191.366
"(3482.0, 1895.0)","(3418.0, 1713.0)",192.925
"(677.0, 354.0)","(800.0, 509.0)",197.874
"(3133.0, 2364.0)","(3049.0, 2172.0)",209.571
"(117.0, 1398.0)","(124.0, 1615.0)",217.113
"(666.0, 338.0)","(800.0, 509.0)",217.249
"(3117.0, 2379.0)","(3049.0, 2172.0)",217.883
