og_coord,closest_coord,dist
"(929.004, 9566.524)","(946.784, 9604.751)",42.16
"(4014.722, 4042.281)","(4006.721, 4000.498)",42.542
"(975.232, 9572.747)","(946.784, 9604.751)",42.82
"(993.012, 9939.015)","(1033.906, 9952.35)",43.013
"(3916.043, 3209.288)","(3900.041, 3169.283)",43.087
"(3900.041, 3169.283)","(3916.043, 3209.288)",43.087
"(3792.472, 2450.083)","(3749.8, 2457.195)",43.261
"(1577.974, 5019.291)","(1549.526, 4986.398)",43.488
"(1955.799, 9390.502)","(1954.021, 9346.941)",43.597
"(3818.253, 4370.322)","(3814.697, 4413.883)",43.706
"(4207.635, 1746.884)","(4225.415, 1786.889)",43.778
"(4225.415, 1786.889)","(4207.635, 1746.884)",43.778
"(3435.983, 4949.949)","(3479.544, 4955.283)",43.886
"(1041.907, 9455.399)","(1058.798, 9414.505)",44.245
"(4895.72, 2383.408)","(4906.388, 2339.847)",44.848
"(3438.65, 3327.525)","(3476.877, 3303.522)",45.138
